tanggal,kategori,komoditas,satuan,pasar,harga,rata_harian,rata_hitung,selisih_rata
2024-01-01,TELUR,Telur Ayam Broiler,Kg,Pasar Pabean,25000,25642.85714,25642.857143,0.000003
2024-01-01,TELUR,Telur Ayam Broiler,Kg,Pasar Kembang,26000,25642.85714,25642.857143,0.000003
2024-01-01,TELUR,Telur Ayam Broiler,Kg,Pasar Balongsari,25500,25642.85714,25642.857143,0.000003
2024-01-01,TELUR,Telur Ayam Kampung,Butir,Pasar Tambahrejo,3000,2728.571429,2728.571429,0
2024-01-01,TELUR,Telur Ayam Kampung,Butir,Pasar Pucang Anom,2500,2728.571429,2728.571429,0
2024-01-01,TELUR,Telur Ayam Kampung,Butir,Pasar Wonokromo,2500,2728.571429,2728.571429,0
2024-01-01,TELUR,Telur Ayam Kampung,Butir,Pasar Genteng Baru,2600,2728.571429,2728.571429,0
2024-01-01,TELUR,Telur Ayam Kampung,Butir,Pasar Pabean,2500,2728.571429,2728.571429,0
2024-01-01,TELUR,Telur Ayam Kampung,Butir,Pasar Kembang,3000,2728.571429,2728.571429,0
2024-01-01,TELUR,Telur Ayam Kampung,Butir,Pasar Balongsari,3000,2728.571429,2728.571429,0
2024-01-01,TAHU,Tahu biasa,Kg,Pasar Tambahrejo,10000,9035.714286,9035.714286,0
2024-01-01,TAHU,Tahu biasa,Kg,Pasar Pucang Anom,1250,9035.714286,9035.714286,0
2024-01-01,TAHU,Tahu biasa,Kg,Pasar Wonokromo,9000,9035.714286,9035.714286,0
2024-01-01,TAHU,Tahu biasa,Kg,Pasar Genteng Baru,9000,9035.714286,9035.714286,0
2024-01-01,TAHU,Tahu biasa,Kg,Pasar Pabean,16000,9035.714286,9035.714286,0
2024-01-01,TAHU,Tahu biasa,Kg,Pasar Kembang,9000,9035.714286,9035.714286,0
2024-01-01,TAHU,Tahu biasa,Kg,Pasar Balongsari,9000,9035.714286,9035.714286,0
2024-01-01,TAHU,Tahu susu,Kg,Pasar Tambahrejo,,12000,12000,0
2024-01-01,TAHU,Tahu susu,Kg,Pasar Pucang Anom,10000,12000,12000,0
2024-01-01,TAHU,Tahu susu,Kg,Pasar Wonokromo,12000,12000,12000,0
2024-01-01,TAHU,Tahu susu,Kg,Pasar Genteng Baru,14000,12000,12000,0
2024-01-01,TAHU,Tahu susu,Kg,Pasar Pabean,,12000,12000,0
2024-01-01,TAHU,Tahu susu,Kg,Pasar Kembang,12000,12000,12000,0
2024-01-01,TAHU,Tahu susu,Kg,Pasar Balongsari,12000,12000,12000,0
2024-01-01,TEMPE,Tempe Kw I (campuran kedelai),Kg,Pasar Tambahrejo,,15000,15000,0
2024-01-01,TEMPE,Tempe Kw I (campuran kedelai),Kg,Pasar Pucang Anom,,15000,15000,0
2024-01-01,TEMPE,Tempe Kw I (campuran kedelai),Kg,Pasar Wonokromo,,15000,15000,0
2024-01-01,TEMPE,Tempe Kw I (campuran kedelai),Kg,Pasar Genteng Baru,16000,15000,15000,0
2024-01-01,TEMPE,Tempe Kw I (campuran kedelai),Kg,Pasar Pabean,14000,15000,15000,0
2024-01-01,TEMPE,Tempe Kw I (campuran kedelai),Kg,Pasar Kembang,,15000,15000,0
2024-01-01,TEMPE,Tempe Kw I (campuran kedelai),Kg,Pasar Balongsari,15000,15000,15000,0
2024-01-01,TEMPE,Tempe Kw II (campuran jagung),Kg,Pasar Tambahrejo,,6000,6000,0
2024-01-01,TEMPE,Tempe Kw II (campuran jagung),Kg,Pasar Pucang Anom,,6000,6000,0
2024-01-01,TEMPE,Tempe Kw II (campuran jagung),Kg,Pasar Wonokromo,6000,6000,6000,0
2024-01-01,TEMPE,Tempe Kw II (campuran jagung),Kg,Pasar Genteng Baru,,6000,6000,0
2024-01-01,TEMPE,Tempe Kw II (campuran jagung),Kg,Pasar Pabean,,6000,6000,0
2024-01-01,TEMPE,Tempe Kw II (campuran jagung),Kg,Pasar Kembang,6000,6000,6000,0
2024-01-01,TEMPE,Tempe Kw II (campuran jagung),Kg,Pasar Balongsari,,6000,6000,0
2024-01-01,TEMPE,Tempe Kw III (campuran kulit),Kg,Pasar Tambahrejo,,2500,2500,0
2024-01-01,TEMPE,Tempe Kw III (campuran kulit),Kg,Pasar Pucang Anom,2500,2500,2500,0
2024-01-01,TEMPE,Tempe Kw III (campuran kulit),Kg,Pasar Wonokromo,,2500,2500,0
2024-01-01,TEMPE,Tempe Kw III (campuran kulit),Kg,Pasar Genteng Baru,,2500,2500,0
2024-01-01,TEMPE,Tempe Kw III (campuran kulit),Kg,Pasar Pabean,,2500,2500,0
2024-01-01,TEMPE,Tempe Kw III (campuran kulit),Kg,Pasar Kembang,,2500,2500,0
2024-01-01,TEMPE,Tempe Kw III (campuran kulit),Kg,Pasar Balongsari,,2500,2500,0
2024-01-01,S U S U,"Susu Kental Manis ""INDOMILK"" Putih",390 Gr/kaleng,Pasar Tambahrejo,12500,12416.66667,12416.666667,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""INDOMILK"" Putih",390 Gr/kaleng,Pasar Pucang Anom,12000,12416.66667,12416.666667,0.000003
